dataset,num_nodes,num_edges,density,trial,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
mycielskian9,383,7271,0.0495674522288651,7,5,0.99,0.0412654745529574,0.99,0.0412654745529574
mycielskian9,383,7271,0.0495674522288651,8,5,0.99,0.0343878954607978,0.99,0.0343878954607978
mycielskian9,383,7271,0.0495674522288651,9,3,0.99,0.0343878954607978,0.99,0.0398899587345254
mycielskian9,383,7271,0.0495674522288651,10,5,0.99,0.0275103163686382,0.99,0.0302613480055021
delaunay_n10,1024,3056,0.0029144287109375,1,5,0.1,0.259016393442623,0.1,0.20983606557377
delaunay_n10,1024,3056,0.0029144287109375,2,5,0.1,0.288524590163934,0.1,0.232786885245902
delaunay_n10,1024,3056,0.0029144287109375,3,5,0.1,0.249180327868852,0.1,0.2
delaunay_n10,1024,3056,0.0029144287109375,4,5,0.1,0.281967213114754,0.1,0.229508196721311
delaunay_n10,1024,3056,0.0029144287109375,5,5,0.1,0.278688524590164,0.1,0.2
delaunay_n10,1024,3056,0.0029144287109375,6,5,0.1,0.252459016393443,0.1,0.219672131147541
delaunay_n10,1024,3056,0.0029144287109375,7,5,0.1,0.304918032786885,0.1,0.216393442622951
delaunay_n10,1024,3056,0.0029144287109375,8,5,0.2,0.262295081967213,0.1,0.216393442622951
delaunay_n10,1024,3056,0.0029144287109375,9,5,0.1,0.285245901639344,0.1,0.213114754098361
delaunay_n10,1024,3056,0.0029144287109375,10,5,0.1,0.281967213114754,0.1,0.222950819672131
data,2851,15093,0.00185686845096473,1,5,0.3,0.19946984758118,0.2,0.231278992710404
data,2851,15093,0.00185686845096473,2,5,0.3,0.18754141815772,0.1,0.217362491716368
data,2851,15093,0.00185686845096473,3,5,0.3,0.196819085487078,0.1,0.222664015904573
data,2851,15093,0.00185686845096473,4,5,0.2,0.200132538104705,0.1,0.2259774685222
data,2851,15093,0.00185686845096473,5,5,0.3,0.191517561298873,0.3,0.216699801192843
data,2851,15093,0.00185686845096473,6,5,0.3,0.181577203445991,0.1,0.219350563286945
data,2851,15093,0.00185686845096473,7,5,0.3,0.19946984758118,0.1,0.228628230616302
data,2851,15093,0.00185686845096473,8,5,0.4,0.186216037110669,0.1,0.204771371769384
data,2851,15093,0.00185686845096473,9,5,0.2,0.201457919151756,0.1,0.235255135851557
data,2851,15093,0.00185686845096473,10,5,0.4,0.203445990722333,0.1,0.221338634857522
USpowerGrid,4941,6594,0.000270096673227386,1,3,0.5,0.00758725341426404,0.6,0.0106221547799697
USpowerGrid,4941,6594,0.000270096673227386,2,5,0.7,0.00455235204855842,0.3,0.00455235204855842
USpowerGrid,4941,6594,0.000270096673227386,3,5,0.5,0.00758725341426404,0.1,0.00758725341426404
USpowerGrid,4941,6594,0.000270096673227386,4,5,0.5,0.00910470409711684,0.1,0.0121396054628225
USpowerGrid,4941,6594,0.000270096673227386,5,5,0.4,0.0136570561456753,0.1,0.0106221547799697
USpowerGrid,4941,6594,0.000270096673227386,6,0.9,0.1,0.0136570561456753,0.9,0.0136570561456753
USpowerGrid,4941,6594,0.000270096673227386,7,5,0.7,0.00758725341426404,0.3,0.00606980273141123
USpowerGrid,4941,6594,0.000270096673227386,8,5,0.85,0.00758725341426404,0.9,0.00910470409711684
USpowerGrid,4941,6594,0.000270096673227386,9,5,0.4,0.0151745068285281,0.4,0.0182094081942337
USpowerGrid,4941,6594,0.000270096673227386,10,5,0.3,0.0106221547799697,0.1,0.00910470409711684
